year	읍면동명	자치구	선거인수	새누리당	더불어민주당	국민의당	비율	독거노인수	유년부양비	노년부양비	노령화지수	사업체수	종사자수	사업체 창업률	기초수급자인원수	보육시설	금융기관	사업체 평균연령	장애등급별 장애인현황	인구	면적	인구밀도	소득(동별)
2016	신사동	강남구	14827	4774	2817	0	0.628902648	380	15.8	19.1	121.3	4503	27741	15.94	128	303	13	6.833	383	18349	1.89	9708	1925266.73
2016	신사동	관악구	20014	3752	3727	2796	0.365158151	701	10	13.9	138.1	1422	4712	11.67	661	538	2	8.999	924	26627	0.64	41605	269594.908
2016	논현1동	강남구	21876	3966	4769	0	0.454035489	500	7.2	12.4	172.1	5788	44157	17.78	356	375	18	7.25	648	24867	1.25	19894	2601180.323
2016	논현2동	강남구	19063	4639	4017	0	0.535928835	409	11.9	14.9	124.8	5656	60642	17.57	319	287	23	7.583	509	22639	1.47	15401	2403661.045
2016	압구정동	강남구	22435	8301	3539	0	0.701097973	647	20	21.4	107.1	4314	29474	16.16	48	301	32	7.167	471	28360	2.53	11209	3033472.24
2016	청담동	강남구	24507	7366	4777	0	0.606604628	491	16.3	15.2	93.5	4497	39652	14.21	210	507	21	7.583	584	30623	2.33	13143	3291842.314
2016	역삼1동	강남구	31222	5285	6839	0	0.43591224	679	6.5	10.1	154.3	15079	147157	19.18	415	767	54	6.917	760	36305	2.35	15449	4072414.906
2016	역삼2동	강남구	26632	6988	6513	0	0.51759129	453	21.4	11.3	53.1	3416	38937	16.77	343	528	15	7.833	672	37047	1.15	32215	4065204.579
2016	삼성1동	강남구	11991	3792	2228	0	0.629900332	243	14.6	15.4	105.5	4330	66958	16.77	107	565	29	7.667	281	15357	1.94	7916	1630845.018
2016	삼성2동	강남구	23856	6262	5159	0	0.548288241	479	19	12	63.3	3734	38887	17.89	324	733	17	8	567	30999	1.24	24999	3316969.214
2016	대치1동	강남구	16660	6362	3281	0	0.659753189	151	24.2	10.1	41.7	1066	7154	17.54	18	294	15	7.75	266	24834	0.79	31435	2769312.055
2016	대치2동	강남구	31132	10404	6970	0	0.598825832	471	14.6	11.4	77.7	3468	57241	13.58	141	504	21	9	707	42068	2	21034	4244588.791
2016	대치4동	강남구	16885	3467	3848	0	0.473957621	315	10.5	9.7	92.8	3716	27829	17.01	229	617	15	6.5	368	21292	0.73	29167	2287312.576
2016	도곡1동	강남구	17461	5405	4281	0	0.558021887	338	17.5	13	74.6	1614	17135	13.63	83	412	11	8.083	431	23057	1.02	22605	2470957.436
2016	도곡2동	강남구	26147	9715	4546	0	0.681228525	478	20.1	14.2	70.5	1926	22629	11.21	37	343	22	8.5	499	34934	1.02	34249	3756471.458
2016	개포1동	강남구	17652	5341	4747	0	0.52944092	907	10.6	16.5	155.5	503	1616	12.52	483	214	2	12.083	631	21162	1.27	16663	767790.6473
2016	개포2동	강남구	19425	5321	5609	0	0.486825252	428	12.7	12.1	94.8	846	3381	12.41	292	278	3	10.25	486	21746	2.51	8664	2175661.745
2016	개포4동	강남구	16188	3656	4387	0	0.454556757	335	14.3	12.3	85.9	2221	12024	9	450	854	4	9.583	495	18550	1.49	12450	2019437.979
2016	일원본동	강남구	18299	5411	5890	0	0.478807185	370	22.7	10.9	48	564	8402	14.01	51	754	5	10.833	703	25104	2.58	9730	2673174.353
2016	일원1동	강남구	14233	3527	4186	0	0.457279917	602	12.5	19.2	154.1	1870	7340	5.67	1285	500	3	17.667	1045	17275	0.92	18777	1808699.766
2016	일원2동	강남구	13325	3824	4173	0	0.478179317	641	15.9	18.6	116.7	636	10125	10.69	957	479	3	11.334	1130	16520	1.24	13323	1984151.072
2016	수서동	강남구	13814	4040	3682	0	0.523180523	1135	9.3	27.5	294.8	1584	15857	10.1	2853	560	4	9.75	2100	16708	1.43	11684	1755059.298
2016	세곡동	강남구	31158	7100	11291	0	0.386058398	766	26.4	16.3	61.7	950	5285	20.42	1756	1619	1	8.083	2021	44344	6.36	6972	4928040.454
2016	강일동	강동구	24321	5462	7276	2030	0.369853738	476	26.5	16.5	62.3	946	15030	10.99	970	1250	5	7.833	1558	34356	2.8	12270	558368.3715
2016	상일동	강동구	16658	4424	4066	1195	0.456788849	304	13	14.2	108.7	1018	5201	10.61	184	472	2	10.167	514	12755	2.65	4813	188721.1629
2016	명일1동	강동구	18055	5328	4747	1256	0.470214456	534	17.6	14.7	83.6	1681	6083	12.91	250	876	7	8.083	719	23036	0.61	37764	452047.8041
2016	명일2동	강동구	14041	4576	3894	942	0.486187845	250	17.5	12.4	71.3	1151	4698	11.38	136	249	7	8.25	478	18503	0.97	19075	310425.0143
2016	고덕1동	강동구	12181	3186	3503	864	0.421819145	272	21.4	13.3	62.2	610	1993	10.33	231	607	4	9.5	547	16318	1.73	9432	471397.63
2016	고덕2동	강동구	7444	1775	1535	530	0.462239583	397	10.4	20.5	197.2	1786	3245	3.36	475	235	4	15.417	605	8674	2.01	4315	127946.8434
2016	암사1동	강동구	29853	6142	7086	2302	0.395492595	1138	15	16.6	110.7	1927	5510	12.77	1345	1461	3	8.334	1571	37988	1.02	37243	637664.7168
2016	암사2동	강동구	12758	3003	3849	1009	0.382012467	330	19.2	15	78.2	864	5139	12.04	88	647	3	8.75	504	15502	1.18	13137	251047.6074
2016	암사3동	강동구	14554	4211	4379	1055	0.436599274	239	23.8	13.1	54.9	609	2009	9.69	83	575	1	8.999	565	19293	2.51	7686	324583.8441
2016	길동	강동구	41751	9346	9524	3447	0.418783887	1162	13.6	15	110.4	3988	18681	13.06	895	1282	9	8.25	1981	51434	2.17	23702	805725.3704
2016	천호1동	강동구	24141	5237	5093	2580	0.405654531	1003	12.5	17.8	142.5	1529	5643	11.71	862	855	1	8.917	1352	29555	0.71	41627	493627.5102
2016	천호2동	강동구	30116	5762	6136	3230	0.380883131	1339	11.9	17.7	148.5	3707	14190	14.41	1299	888	4	8.083	1757	36126	1.57	23010	622195.2036
2016	천호3동	강동구	21456	4435	4398	2425	0.393942086	1048	10.9	18.6	170.2	1863	7584	15.14	960	722	3	8.417	1288	25857	0.79	32730	487953.6308
2016	성내1동	강동구	15304	3419	4001	1801	0.37078408	364	17.8	14.7	82.7	2105	18175	11.64	170	867	6	8.833	631	20992	0.58	36193	356091.9831
2016	성내2동	강동구	21492	4209	4918	2524	0.361256545	839	11.2	16.8	149.3	1978	7625	15.62	667	728	4	7.917	1111	25979	0.67	38775	436319.6034
2016	성내3동	강동구	20282	4084	4837	2473	0.358434264	598	14.2	14.8	104.5	2461	9455	14.3	357	823	5	7.999	864	24628	0.71	34687	413744.8065
2016	둔촌1동	강동구	15187	4057	3878	1974	0.409425775	247	10.8	10.7	99.5	408	1371	8.09	77	81	2	11.583	411	18715	0.92	20342	4949.554394
2016	둔촌2동	강동구	22665	5230	5545	2748	0.386748503	689	16.2	14.9	91.8	1637	9468	13.07	445	778	6	8.583	963	28760	0.98	29347	481900.343
2016	번1동	강북구	17097	3206	2847	2379	0.380218216	829	11	19.9	180.3	1793	8987	14.89	717	654	3	8	914	20334	0.55	36971	176419.7318
2016	번2동	강북구	15289	3204	2860	2253	0.385235061	813	12.5	25.6	205.4	656	3314	8.69	1303	552	4	10.75	1394	18407	1.25	14726	154090.1488
2016	수유1동	강북구	18851	3663	3317	2395	0.39072	1061	12.3	21.9	178.1	1449	4878	10.84	1113	870	2	10.167	1296	22844	1.07	21350	195526.3048
2016	수유2동	강북구	18663	4615	3497	2556	0.432602175	843	13	24.2	185.8	1363	4339	11.89	928	745	1	8.833	1029	22372	0.73	30647	196060.5054
2016	수유3동	강북구	20709	4063	3671	3055	0.376587265	979	9.4	20.7	219.8	2399	8658	17.22	895	517	8	7.083	1113	24126	0.86	28053	216146.4461
2016	우이동	강북구	17844	4115	3168	2208	0.433568644	959	14.1	25.2	178.7	993	3970	12.99	807	702	2	9.583	987	22014	10.95	2010	190540.433
2016	인수동	강북구	27054	5709	4722	3583	0.407378336	1394	13.1	24.4	186.8	1550	5487	10	1636	524	1	9.5	1735	33089	2.93	11293	292145.3777
2016	삼양동	강북구	23926	4302	5824	1810	0.360422252	1316	14.8	21	141.7	1176	3641	12.41	1491	870	2	9.25	1529	29747	0.95	31313	229492.5565
2016	미아동	강북구	19984	3592	5622	1500	0.335262274	1013	10.7	20.6	193.2	1639	6194	13.61	744	426	2	7.833	1138	23591	0.73	32316	204661.1343
2016	송중동	강북구	24690	4700	6438	1680	0.366671868	1252	11.9	22.5	188.7	1955	7783	14.63	948	771	2	8.083	1402	29310	1.22	24025	258196.9328
2016	송천동	강북구	25342	4952	6486	1818	0.373566687	1550	11.3	23.1	203.9	2128	7241	11.7	1189	716	6	9.417	1542	30536	0.88	34700	257404.5353
2016	삼각산동	강북구	25129	5079	8526	1835	0.328950777	809	25.5	14.8	57.9	781	2354	14.47	1084	1213	3	7.25	1249	34452	0.62	55568	294700.637
2016	번3동	강북구	16319	3567	4317	1344	0.386540962	942	15.7	30.1	192.1	860	2922	6.98	2184	457	1	10.833	2010	19882	0.86	23119	164765.2565
2016	화곡1동	강서구	43602	7033	7629	3969	0.377489131	1279	11.5	15.4	134.1	3126	10841	13.31	1081	1265	3	9.167	2072	54425	1.12	48594	978373.033
2016	화곡2동	강서구	15786	2478	2892	1463	0.362651837	467	17.2	15	87.3	852	2790	12.09	560	770	4	10.167	774	20465	0.47	43543	351674.6578
2016	화곡3동	강서구	19419	4476	4139	1642	0.436384908	557	13.4	17.7	132	1227	5360	15.57	361	743	3	8.5	876	23190	0.51	45471	406121.1591
