,읍면동명,자치구,선거인수,새누리당,민주통합당,통합진보당,독거노인수,유년부양비,노년부양비,노령화지수,사업체수,종사자수,사업체 창업률,기초수급자인원수,보육시설,금융기관,사업체 평균연령,장애등급별 장애인현황
0,신사동,강남구,16599,5826,2436,0,361.0,16.2,15.1,92.8,4423,26400.0,18.5,128,211,17.0,7.1670000000000025,0.0
1,신사동,강남구,16599,5826,2436,0,361.0,16.2,15.1,92.8,4423,26400.0,18.5,128,211,17.0,7.1670000000000025,415.0
2,신사동,강남구,16599,5826,2436,0,361.0,16.2,15.1,92.8,4423,26400.0,18.5,128,211,17.0,6.1670000000000025,0.0
3,신사동,강남구,16599,5826,2436,0,361.0,16.2,15.1,92.8,4423,26400.0,18.5,128,211,17.0,6.1670000000000025,415.0
4,논현1동,강남구,23621,4764,4152,0,443.0,8.4,9.6,113.8,5049,37939.0,16.3,356,416,17.0,6.9170000000000025,692.0
5,논현2동,강남구,19307,5199,3338,0,354.0,13.0,12.3,94.6,5086,53983.0,14.8,319,246,31.0,7.4170000000000025,555.0
6,압구정동,강남구,23307,10132,2406,0,619.0,21.2,17.4,82.1,3983,26298.0,18.3,48,291,37.0,6.6670000000000025,519.0
7,청담동,강남구,25247,8772,3878,0,463.0,17.4,12.6,72.3,3672,37003.0,17.1,210,545,21.0,7.25,673.0
8,삼성1동,강남구,12513,4550,1982,0,225.0,16.0,12.4,77.6,3657,57706.0,13.2,107,653,38.0,8.833,367.0
9,삼성2동,강남구,25495,7897,4624,0,421.0,19.5,10.0,51.1,3054,30856.0,16.9,324,711,22.0,7.5,670.0
10,역삼1동,강남구,31451,6115,5560,0,533.0,8.2,8.9,108.4,11473,133384.0,18.3,415,656,66.0,6.999,824.0
11,역삼2동,강남구,26460,8076,4932,0,451.0,21.8,9.9,45.3,2799,37603.0,17.3,343,437,21.0,7.6670000000000025,707.0
12,도곡1동,강남구,18047,6872,3583,0,342.0,17.1,10.8,63.2,1426,13664.0,14.8,83,411,13.0,7.5829999999999975,452.0
13,도곡2동,강남구,25888,11890,3252,0,409.0,21.0,11.4,54.1,1698,16951.0,12.5,37,290,24.0,7.6670000000000025,499.0
14,대치1동,강남구,14032,6916,2077,0,146.0,23.3,8.8,37.8,1040,6289.0,16.5,18,180,19.0,7.0,250.0
15,대치2동,강남구,31950,13915,6028,0,431.0,15.8,8.9,56.5,3200,48576.0,13.7,141,414,28.0,8.75,750.0
16,대치4동,강남구,17748,4454,3664,0,298.0,11.3,8.3,73.6,3272,31940.0,18.7,229,497,22.0,6.1670000000000025,426.0
17,개포1동,강남구,18502,6878,4436,0,541.0,13.4,12.2,91.0,448,1291.0,8.5,483,225,3.0,11.25,685.0
18,개포2동,강남구,26374,9177,6951,0,471.0,18.0,8.4,46.5,1047,3810.0,13.9,292,300,7.0,9.167,811.0
19,개포4동,강남구,18800,5424,4559,0,358.0,16.8,9.8,58.2,3307,13458.0,9.4,450,807,5.0,9.833,669.0
20,일원본동,강남구,17255,6988,4130,0,300.0,21.6,8.5,39.4,481,8005.0,9.8,51,706,6.0,9.999,584.0
21,일원1동,강남구,15235,4264,4299,0,493.0,14.5,14.2,98.3,868,4248.0,12.3,1285,486,3.0,8.0,1107.0
22,일원2동,강남구,15128,5146,4262,0,455.0,16.4,11.7,71.0,573,5505.0,12.2,957,419,4.0,9.667,1180.0
23,수서동,강남구,14803,4510,4031,0,785.0,10.4,20.5,196.6,1492,14416.0,12.4,2853,375,4.0,8.083,2051.0
24,세곡동,강남구,8733,2904,2136,0,252.0,26.1,20.1,77.0,400,1881.0,15.3,1756,749,,9.083,754.0
25,강일동,강동구,24432,6402,7563,0,329.0,30.4,13.8,45.5,603,10962.0,18.1,970,1477,4.0,8.25,1545.0
26,상일동,강동구,21782,6735,5444,0,412.0,16.4,10.0,60.7,1237,5238.0,11.3,184,524,2.0,12.25,991.0
27,명일1동,강동구,21858,7119,5508,0,467.0,19.9,10.9,54.7,1650,4937.0,14.4,250,900,8.0,8.167,843.0
28,명일2동,강동구,14539,5649,3526,0,201.0,16.6,9.4,56.5,1265,4869.0,17.0,136,299,8.0,7.334,494.0
29,고덕1동,강동구,15521,4329,4012,0,330.0,21.8,10.8,49.4,577,1878.0,8.0,231,565,,12.334000000000001,575.0
30,고덕2동,강동구,14539,3802,3566,0,423.0,14.6,12.2,83.4,1927,3795.0,3.3,475,431,2.0,20.417,923.0
