기간	자치구	동	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관	금융기관
기간	자치구	동	합계	한국은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	시중은행	지방은행	특수은행	특수은행	특수은행	특수은행	기타	기타
기간	자치구	동	합계	한국은행	우리은행	SC제일은행	KB국민은행	한국외환은행	신한은행	한국씨티은행	하나은행	지방은행	IBK기업은행	농협중앙회	수협중앙회	한국산업은행	수출입은행	외국은행
2008	합계	합계	2,681	2	440	180	489	153	458	100	336	16	209	193	56	10	1	38
2008	종로구	소계	152	-	23	11	27	11	22	4	14	1	7	16	1	1	-	14
2008	종로구	사직동	23	-	2	-	4	3	3	2	2	-	-	4	-	-	-	3
2008	종로구	삼청동	2	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-
2008	종로구	부암동	2	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-
2008	종로구	평창동	4	-	1	-	1	1	-	-	1	-	-	-	-	-	-	-
2008	종로구	무악동	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
2008	종로구	교남동	2	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-
2008	종로구	가회동	7	-	1	-	-	1	3	-	-	-	-	1	1	-	-	-
2008	종로구	종로1.2.3.4가동	68	-	9	6	14	4	7	1	4	1	3	7	-	1	-	11
2008	종로구	종로5·6가동	12	-	2	2	1	1	1	1	3	-	1	-	-	-	-	-
2008	종로구	이화동	6	-	-	-	1	-	3	-	-	-	-	2	-	-	-	-
2008	종로구	혜화동	2	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-
2008	종로구	명륜3가동	4	-	1	-	1	-	1	-	1	-	-	-	-	-	-	-
2008	종로구	창신1동	7	-	1	1	2	-	2	-	-	-	1	-	-	-	-	-
2008	종로구	창신2동	2	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-
2008	종로구	숭인2동	7	-	1	-	-	1	1	-	2	-	-	2	-	-	-	-
2008	종로구	청운효자동	3	-	1	-	1	-	1	-	-	-	-	-	-	-	-	-
2008	중구	소계	234	1	37	13	37	11	44	7	23	4	16	13	5	-	-	23
2008	중구	소공동	42	1	5	2	6	2	12	-	3	2	1	3	-	-	-	5
2008	중구	회현동	37	-	7	2	6	2	8	1	3	-	2	3	-	-	-	3
2008	중구	명동	53	-	7	-	5	2	9	4	5	1	2	2	2	-	-	14
2008	중구	필동	3	-	-	2	-	-	-	-	1	-	-	-	-	-	-	-
2008	중구	장충동	8	-	2	-	1	-	3	-	1	-	-	1	-	-	-	-
2008	중구	광희동	20	-	4	2	5	2	4	-	-	-	2	-	1	-	-	-
2008	중구	을지로동	41	-	2	5	9	2	3	2	8	1	5	3	-	-	-	1
2008	중구	신당1동	7	-	1	-	2	-	2	-	-	-	-	-	2	-	-	-
2008	중구	신당2동	2	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-
2008	중구	신당3동	4	-	2	-	-	-	1	-	-	-	1	-	-	-	-	-
2008	중구	신당4동	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
2008	중구	신당5동	3	-	1	-	-	-	-	-	1	-	-	1	-	-	-	-
2008	중구	신당6동	3	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-
2008	중구	황학동	5	-	1	-	1	-	1	-	-	-	2	-	-	-	-	-
2008	중구	중림동	5	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
2008	용산구	소계	94	-	16	8	14	6	15	3	13	-	9	10	-	-	-	-
2008	용산구	후암동	3	-	1	1	1	-	-	-	-	-	-	-	-	-	-	-
2008	용산구	용산2가동	7	-	2	1	-	-	1	-	-	-	1	2	-	-	-	-
2008	용산구	남영동	7	-	1	-	1	1	-	1	1	-	1	1	-	-	-	-
2008	용산구	원효로2동	5	-	1	1	1	-	1	-	-	-	1	-	-	-	-	-
2008	용산구	효창동	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
2008	용산구	이촌1동	14	-	1	1	3	1	2	1	3	-	1	1	-	-	-	-
2008	용산구	이촌2동	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
2008	용산구	이태원1동	6	-	-	1	1	2	1	-	-	-	1	-	-	-	-	-
2008	용산구	이태원2동	3	-	-	-	1	-	1	-	-	-	1	-	-	-	-	-
2008	용산구	서빙고동	3	-	1	1	-	-	-	-	1	-	-	-	-	-	-	-
2008	용산구	보광동	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-
2008	용산구	청파동	2	-	-	-	-	-	1	-	1	-	-	-	-	-	-	-
2008	용산구	원효로1동	5	-	3	-	-	-	1	-	-	-	-	1	-	-	-	-
2008	용산구	한강로동	24	-	4	1	4	1	5	1	4	-	1	3	-	-	-	-
2008	용산구	한남동	11	-	2	-	1	1	2	-	3	-	1	1	-	-	-	-
2008	성동구	소계	61	-	7	7	12	3	10	4	7	-	6	5	-	-	-	-
2008	성동구	왕십리2동	2	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-
2008	성동구	마장동	6	-	1	2	2	-	-	-	-	-	1	-	-	-	-	-
