year,읍면동명,자치구,선거인수,새누리당,더불어민주당,국민의당,독거노인수,유년부양비,노년부양비,노령화지수,사업체수,종사자수,사업체 창업률,기초수급자인원수,보육시설,금융기관,사업체 평균연령,장애등급별 장애인현황,인구,면적,인구밀도
2016,신사동,강남구,14827,4774.0,2817,0.0,380.0,15.8,19.1,121.3,4503,27741.0,15.94,128,303.0,13.0,6.8329999999999975,383.0,18349,1.89,9708
2016,신사동,관악구,20014,3752.0,3727,2796.0,701.0,10.0,13.9,138.1,1422,4712.0,11.67,661,538.0,2.0,8.999,924.0,26627,0.64,41605
2016,논현1동,강남구,21876,3966.0,4769,0.0,500.0,7.2,12.4,172.1,5788,44157.0,17.78,356,375.0,18.0,7.25,648.0,24867,1.25,19894
2016,논현2동,강남구,19063,4639.0,4017,0.0,409.0,11.9,14.9,124.8,5656,60642.0,17.57,319,287.0,23.0,7.5829999999999975,509.0,22639,1.47,15401
2016,압구정동,강남구,22435,8301.0,3539,0.0,647.0,20.0,21.4,107.1,4314,29474.0,16.16,48,301.0,32.0,7.1670000000000025,471.0,28360,2.53,11209
2016,청담동,강남구,24507,7366.0,4777,0.0,491.0,16.3,15.2,93.5,4497,39652.0,14.21,210,507.0,21.0,7.5829999999999975,584.0,30623,2.33,13143
2016,역삼1동,강남구,31222,5285.0,6839,0.0,679.0,6.5,10.1,154.3,15079,147157.0,19.18,415,767.0,54.0,6.9170000000000025,760.0,36305,2.35,15449
2016,역삼2동,강남구,26632,6988.0,6513,0.0,453.0,21.4,11.3,53.1,3416,38937.0,16.77,343,528.0,15.0,7.8329999999999975,672.0,37047,1.15,32215
2016,삼성1동,강남구,11991,3792.0,2228,0.0,243.0,14.6,15.4,105.5,4330,66958.0,16.77,107,565.0,29.0,7.6670000000000025,281.0,15357,1.94,7916
2016,삼성2동,강남구,23856,6262.0,5159,0.0,479.0,19.0,12.0,63.3,3734,38887.0,17.89,324,733.0,17.0,8.0,567.0,30999,1.24,24999
2016,대치1동,강남구,16660,6362.0,3281,0.0,151.0,24.2,10.1,41.7,1066,7154.0,17.54,18,294.0,15.0,7.75,266.0,24834,0.79,31435
2016,대치2동,강남구,31132,10404.0,6970,0.0,471.0,14.6,11.4,77.7,3468,57241.0,13.58,141,504.0,21.0,9.0,707.0,42068,2.0,21034
2016,대치4동,강남구,16885,3467.0,3848,0.0,315.0,10.5,9.7,92.8,3716,27829.0,17.01,229,617.0,15.0,6.5,368.0,21292,0.73,29167
2016,도곡1동,강남구,17461,5405.0,4281,0.0,338.0,17.5,13.0,74.6,1614,17135.0,13.63,83,412.0,11.0,8.083,431.0,23057,1.02,22605
2016,도곡2동,강남구,26147,9715.0,4546,0.0,478.0,20.1,14.2,70.5,1926,22629.0,11.21,37,343.0,22.0,8.5,499.0,34934,1.02,34249
2016,개포1동,강남구,17652,5341.0,4747,0.0,907.0,10.6,16.5,155.5,503,1616.0,12.52,483,214.0,2.0,12.083,631.0,21162,1.27,16663
2016,개포2동,강남구,19425,5321.0,5609,0.0,428.0,12.7,12.1,94.8,846,3381.0,12.41,292,278.0,3.0,10.25,486.0,21746,2.51,8664
2016,개포4동,강남구,16188,3656.0,4387,0.0,335.0,14.3,12.3,85.9,2221,12024.0,9.0,450,854.0,4.0,9.583,495.0,18550,1.49,12450
2016,일원본동,강남구,18299,5411.0,5890,0.0,370.0,22.7,10.9,48.0,564,8402.0,14.01,51,754.0,5.0,10.833,703.0,25104,2.58,9730
2016,일원1동,강남구,14233,3527.0,4186,0.0,602.0,12.5,19.2,154.1,1870,7340.0,5.67,1285,500.0,3.0,17.667,1045.0,17275,0.92,18777
2016,일원2동,강남구,13325,3824.0,4173,0.0,641.0,15.9,18.6,116.7,636,10125.0,10.69,957,479.0,3.0,11.334000000000001,1130.0,16520,1.24,13323
2016,수서동,강남구,13814,4040.0,3682,0.0,1135.0,9.3,27.5,294.8,1584,15857.0,10.1,2853,560.0,4.0,9.75,2100.0,16708,1.43,11684
2016,세곡동,강남구,31158,7100.0,11291,0.0,766.0,26.4,16.3,61.7,950,5285.0,20.42,1756,1619.0,1.0,8.083,2021.0,44344,6.36,6972
2016,강일동,강동구,24321,5462.0,7276,2030.0,476.0,26.5,16.5,62.3,946,15030.0,10.99,970,1250.0,5.0,7.8329999999999975,1558.0,34356,2.8,12270
2016,상일동,강동구,16658,4424.0,4066,1195.0,304.0,13.0,14.2,108.7,1018,5201.0,10.61,184,472.0,2.0,10.167,514.0,12755,2.65,4813
2016,명일1동,강동구,18055,5328.0,4747,1256.0,534.0,17.6,14.7,83.6,1681,6083.0,12.91,250,876.0,7.0,8.083,719.0,23036,0.61,37764
2016,명일2동,강동구,14041,4576.0,3894,942.0,250.0,17.5,12.4,71.3,1151,4698.0,11.38,136,249.0,7.0,8.25,478.0,18503,0.97,19075
2016,고덕1동,강동구,12181,3186.0,3503,864.0,272.0,21.4,13.3,62.2,610,1993.0,10.33,231,607.0,4.0,9.5,547.0,16318,1.73,9432
2016,고덕2동,강동구,7444,1775.0,1535,530.0,397.0,10.4,20.5,197.2,1786,3245.0,3.36,475,235.0,4.0,15.417,605.0,8674,2.01,4315
2016,암사1동,강동구,29853,6142.0,7086,2302.0,1138.0,15.0,16.6,110.7,1927,5510.0,12.77,1345,1461.0,3.0,8.334,1571.0,37988,1.02,37243
2016,암사2동,강동구,12758,3003.0,3849,1009.0,330.0,19.2,15.0,78.2,864,5139.0,12.04,88,647.0,3.0,8.75,504.0,15502,1.18,13137
2016,암사3동,강동구,14554,4211.0,4379,1055.0,239.0,23.8,13.1,54.9,609,2009.0,9.69,83,575.0,1.0,8.999,565.0,19293,2.51,7686
2016,길동,강동구,41751,9346.0,9524,3447.0,1162.0,13.6,15.0,110.4,3988,18681.0,13.06,895,1282.0,9.0,8.25,1981.0,51434,2.17,23702
2016,천호1동,강동구,24141,5237.0,5093,2580.0,1003.0,12.5,17.8,142.5,1529,5643.0,11.71,862,855.0,1.0,8.917,1352.0,29555,0.71,41627
2016,천호2동,강동구,30116,5762.0,6136,3230.0,1339.0,11.9,17.7,148.5,3707,14190.0,14.41,1299,888.0,4.0,8.083,1757.0,36126,1.57,23010
2016,천호3동,강동구,21456,4435.0,4398,2425.0,1048.0,10.9,18.6,170.2,1863,7584.0,15.14,960,722.0,3.0,8.417,1288.0,25857,0.79,32730
2016,성내1동,강동구,15304,3419.0,4001,1801.0,364.0,17.8,14.7,82.7,2105,18175.0,11.64,170,867.0,6.0,8.833,631.0,20992,0.58,36193
2016,성내2동,강동구,21492,4209.0,4918,2524.0,839.0,11.2,16.8,149.3,1978,7625.0,15.62,667,728.0,4.0,7.9170000000000025,1111.0,25979,0.67,38775
2016,성내3동,강동구,20282,4084.0,4837,2473.0,598.0,14.2,14.8,104.5,2461,9455.0,14.3,357,823.0,5.0,7.999,864.0,24628,0.71,34687
2016,둔촌1동,강동구,15187,4057.0,3878,1974.0,247.0,10.8,10.7,99.5,408,1371.0,8.09,77,81.0,2.0,11.583,411.0,18715,0.92,20342
2016,둔촌2동,강동구,22665,5230.0,5545,2748.0,689.0,16.2,14.9,91.8,1637,9468.0,13.07,445,778.0,6.0,8.583,963.0,28760,0.98,29347
2016,번1동,강북구,17097,3206.0,2847,2379.0,829.0,11.0,19.9,180.3,1793,8987.0,14.89,717,654.0,3.0,8.0,914.0,20334,0.55,36971
2016,번2동,강북구,15289,3204.0,2860,2253.0,813.0,12.5,25.6,205.4,656,3314.0,8.69,1303,552.0,4.0,10.75,1394.0,18407,1.25,14726
2016,수유1동,강북구,18851,3663.0,3317,2395.0,1061.0,12.3,21.9,178.1,1449,4878.0,10.84,1113,870.0,2.0,10.167,1296.0,22844,1.07,21350
2016,수유2동,강북구,18663,4615.0,3497,2556.0,843.0,13.0,24.2,185.8,1363,4339.0,11.89,928,745.0,1.0,8.833,1029.0,22372,0.73,30647
